Name,Description,Status,Nutrition
Allium,"Tanaman dalam genus bawang, termasuk bawang putih dan bawang merah, kaya akan rasa dan sering digunakan sebagai bumbu masakan.",Edible,"Mengandung senyawa sulfur, vitamin C, vitamin B6, mangan, dan antioksidan."
Borage,Daun borage memiliki rasa gurih seperti mentimun dan sering digunakan dalam salad atau teh herbal.,Edible,"Kaya akan asam lemak gamma-linolenic (GLA), vitamin C, dan serat."
Burdock,Akar burdock sering digunakan dalam masakan Asia dan memiliki rasa manis serta berserat.,Edible,"Sumber serat prebiotik, kalium, magnesium, dan antioksidan."
Calendula,"Kelopak bunga yang dapat dimakan, sering digunakan sebagai pewarna alami dan bahan teh herbal.",Edible,"Mengandung flavonoid, karotenoid, dan vitamin C."
Cattail,"Bagian akar dan pucuk muda cattail dapat dimakan, dengan rasa seperti asparagus atau mentimun.",Edible,"Mengandung karbohidrat, protein, dan serat."
Chickweed,Tanaman herba kecil dengan daun yang dapat dimakan mentah atau dimasak.,Edible,"Kaya akan vitamin C, vitamin A, dan zat besi."
Chicory,"Akar chicory sering digunakan sebagai pengganti kopi, sedangkan daunnya dimakan sebagai sayuran.",Edible,"Sumber serat, inulin, vitamin K, dan mangan."
Chive Blossom,"Bunga kucai dengan rasa lembut seperti bawang, sering digunakan sebagai hiasan atau bumbu.",Edible,"Kaya akan vitamin C, vitamin K, dan antioksidan."
Coltsfoot,Daun dan bunga coltsfoot sering digunakan sebagai bahan teh herbal untuk kesehatan pernapasan.,Edible,"Mengandung senyawa antiinflamasi, vitamin C, dan mineral."
Common Mallow,Daun dan bunga mallow sering digunakan dalam masakan atau teh herbal.,Edible,"Mengandung vitamin A, vitamin C, dan serat."
Common Milkweed,Bagian pucuk muda dan bunga milkweed dapat dimakan setelah dimasak.,Edible,"Kaya akan serat, vitamin C, dan mineral."
Common Vetch,Tanaman herba yang kadang dimakan daunnya; penggunaannya terbatas karena bisa bersifat toksik jika salah pengolahan.,Edible,Mengandung protein dan karbohidrat.
Common Yarrow,Bunga dan daun yarrow sering digunakan dalam teh herbal atau sebagai ramuan obat tradisional.,Edible,Kaya akan flavonoid dan senyawa antiinflamasi.
Coneflower,"Dikenal juga sebagai Echinacea, sering digunakan dalam teh herbal untuk mendukung kekebalan tubuh.",Edible,"Mengandung antioksidan, vitamin C, dan senyawa imunomodulator."
Cow Parsley,Daun dan bunga dapat dimakan mentah atau dimasak; mirip dengan peterseli.,Edible,"Kaya akan vitamin A, vitamin C, dan kalsium."
Cowslip,"Bunga kuning cerah dengan rasa manis, sering digunakan dalam salad atau teh.",Edible,"Mengandung vitamin C, flavonoid, dan zat antiinflamasi."
Crimson Clover,"Daun muda dan bunga dapat dimakan mentah, sering digunakan dalam salad.",Edible,"Sumber protein, vitamin C, dan zat besi."
Crithmum Maritimum,"Dikenal sebagai samphire laut, memiliki rasa asin dan digunakan sebagai bahan masakan.",Edible,"Kaya akan mineral, vitamin A, dan vitamin C."
Daisy,"Kelopak bunga daisy dapat dimakan mentah, sering digunakan sebagai hiasan salad.",Edible,Mengandung vitamin C dan antioksidan.
Dandelion,"Daun, bunga, dan akar dandelion semuanya dapat dimakan, sering digunakan dalam salad atau teh herbal.",Edible,"Kaya akan vitamin A, vitamin C, zat besi, dan kalsium."
Fennel,"Umbi, daun, dan biji fennel memiliki rasa manis seperti adas manis, sering digunakan dalam masakan.",Edible,"Mengandung vitamin C, serat, dan kalium."
Fireweed,"Daun muda dapat dimakan mentah, sementara pucuk dan bunga sering digunakan dalam teh herbal.",Edible,"Kaya akan vitamin A, vitamin C, dan antioksidan."
Gardenia,Kelopak bunga gardenia digunakan sebagai pewarna makanan alami dan teh herbal.,Edible,Mengandung senyawa antioksidan dan vitamin.
Garlic Mustard,"Daun dengan rasa pedas seperti bawang putih, sering digunakan dalam salad atau pesto.",Edible,"Mengandung vitamin A, vitamin C, dan kalsium."
Geranium,Kelopak bunga sering digunakan dalam teh herbal atau sebagai hiasan makanan.,Edible,Mengandung antioksidan dan senyawa antiinflamasi.
Ground Ivy,Daun sering digunakan sebagai bumbu masakan atau dalam teh herbal.,Edible,Kaya akan vitamin C dan antioksidan.
Harebell,"Kelopak bunga yang dapat dimakan, biasanya digunakan sebagai hiasan.",Edible,Mengandung senyawa antioksidan.
Henbit,"Daun dan bunga dapat dimakan mentah atau dimasak, sering digunakan dalam salad.",Edible,"Mengandung vitamin C, serat, dan mineral."
Knapweed,Bunga dengan rasa manis sering digunakan sebagai teh herbal.,Edible,Kaya akan flavonoid dan antioksidan.
Meadowsweet,Bunga harum sering digunakan dalam teh herbal atau makanan penutup.,Edible,"Mengandung senyawa salisilat, antiinflamasi, dan antioksidan."
Mullein,Daun dan bunga digunakan dalam teh herbal untuk kesehatan pernapasan.,Edible,Mengandung senyawa antiinflamasi dan vitamin C.
Pickerelweed,"Biji pickerelweed dapat dimakan, sering dimasak sebagai gandum.",Edible,Sumber karbohidrat dan protein.
Ramsons,"Daun dan bunga dengan rasa bawang putih, sering digunakan dalam salad atau masakan.",Edible,"Mengandung vitamin C, vitamin A, dan senyawa sulfur."
Red Clover,Bunga merah sering digunakan dalam teh herbal atau salad.,Edible,"Kaya akan isoflavon, vitamin C, dan zat besi."
